city,year,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Балашиха,2022,518260.0,1.0,67173.0,39.74,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,426.3,210.2,1093.0,26.1,40126.3,84.1,6.0,167334.69
Балашиха,2023,526851.0,1.0,72728.0,39.74,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,414.2,204.3,1843.0,26.1,40126.3,84.1,5.5,192218.95
Балашиха,2024,526851.0,1.0,78743.0,39.74,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,455.6,208.1,1843.0,26.1,40126.3,84.1,4.9,186023.68
Барнаул,2015,635530.0,2.0,23593.0,39.82,9854.0,13.7,14748.0,6377.0,11.7,190.6,36.8,519.6,189.6,-1427.0,22.1,27433.4,167.2,16.8,41303.54
Барнаул,2016,635585.0,3.0,24886.0,39.94,9944.0,13.3,14276.0,6775.0,11.1,194.1,37.3,409.2,206.3,-3982.0,22.6,28937.3,163.5,16.8,37648.34
Барнаул,2017,633301.0,4.0,26672.0,40.08,9890.0,11.9,12761.0,6078.0,11.4,197.3,34.1,519.1,185.5,-1501.0,23.1,31013.5,158.3,16.8,39840.67
Барнаул,2018,632372.0,4.0,29800.0,40.27,9667.0,10.8,12761.0,6078.0,11.4,200.5,34.9,507.3,222.6,658.0,23.6,34651.1,157.8,16.8,44696.35
Барнаул,2019,632723.0,3.0,32555.0,40.48,10442.0,9.8,12761.0,6078.0,11.4,200.7,35.1,463.0,197.8,637.0,24.1,37855.1,157.2,16.9,40897.13
Барнаул,2020,632391.0,3.0,34971.0,40.72,10685.0,9.8,12761.0,6078.0,11.4,200.7,35.1,452.4,209.6,2394.0,24.77,37855.1,157.2,16.8,52725.12
Барнаул,2021,631124.0,3.0,37976.0,40.88,10685.0,9.8,12761.0,6078.0,11.4,200.7,35.1,474.4,225.3,1011.0,25.49,37855.1,157.2,15.7,74773.77
Барнаул,2022,627789.0,3.0,41238.0,40.98,10685.0,9.8,12761.0,6078.0,11.4,200.7,35.1,499.7,217.7,-5034.0,26.11,37855.1,157.2,13.8,91188.2
Барнаул,2023,623057.0,3.0,44781.0,40.6,10685.0,9.8,12761.0,6078.0,11.4,200.7,35.1,451.8,205.1,-542.0,26.54,37855.1,157.2,13.3,114719.4
Барнаул,2024,623057.0,3.0,48628.0,40.87,10685.0,9.8,12761.0,6078.0,11.4,200.7,35.1,259.5,195.0,-542.0,26.92,37855.1,157.2,12.1,120538.58
Батайск,2018,129993.0,3.0,28389.0,39.74,10776.0,13.6,4785.5,1966.5,11.8,32.9,7.4,159.2,202.6,653.0,26.1,33010.7,20.1,13.2,45175.29
Батайск,2019,129993.0,2.0,29856.0,39.74,10776.0,13.0,4785.5,1966.5,10.9,33.1,7.5,276.0,211.1,1.0,26.1,34716.1,19.2,13.3,43944.07
Батайск,2020,129993.0,1.0,32327.0,39.74,10776.0,13.0,4785.5,1966.5,10.9,33.1,7.5,340.5,162.7,-315.0,26.1,34716.1,19.2,13.0,45175.29
Батайск,2021,129993.0,4.0,34685.0,39.74,10776.0,13.0,4785.5,1966.5,10.9,33.1,7.5,338.5,187.0,-665.5,26.1,34716.1,19.2,12.0,51446.52
Батайск,2022,129993.0,3.0,37214.0,39.74,10776.0,13.0,4785.5,1966.5,10.9,33.1,7.5,259.6,194.3,-1016.0,26.1,34716.1,19.2,10.2,80114.9
Безенчук,2015,22018.0,1.0,37615.0,40.53,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,428.3,158.2,81.0,24.5,40126.3,84.1,12.7,41348.85
Безенчук,2016,22232.0,1.0,37615.0,40.63,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,211.0,212.0,81.0,25.1,40126.3,84.1,12.7,37902.35
Безенчук,2017,22050.0,1.0,37615.0,40.73,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,165.0,171.8,81.0,25.6,40126.3,84.1,12.7,39933.9
